,Place,Place Latitude,Place Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
103,Sri City,13.5362462,79.9911259,project nilgiri(Cadbury Factory),13.546780586242676,79.99645233154297,Factory
104,Sri City,13.5362462,79.9911259,MMD Heavy Machinery (India) Private Ltd,13.547821993301083,80.0005376452046,Factory
105,Sri City,13.5362462,79.9911259,Pals Plush Sri City,13.524671,79.98081,Factory
106,Margao,15.272923,73.9583159,Siemens Healthcare,15.28523700737485,73.95735585182257,Factory
107,Margao,15.272923,73.9583159,"costa factory, aquem",15.268706905790568,73.97107374957534,Factory
108,Darjeeling,27.0377554,88.263176,Tibetan Refugee Self Help Center,27.05310633103787,88.26836585998535,Factory
109,Chennai,13.0836939,80.270186,Fazlux Impex,13.083588709235237,80.26825472553037,Factory
110,Chennai,13.0836939,80.270186,EXPOS Leathers,13.0818452835083,80.26817321777344,Factory
111,Chennai,13.0836939,80.270186,"pattnool sadar jung street, periamet",13.0811128616333,80.2715835571289,Factory
112,Chennai,13.0836939,80.270186,Ambattur Industrial Estate,13.079772,80.272876,Factory
113,Chennai,13.0836939,80.270186,Gemini Enterprises,13.087313669724772,80.26551586238533,Factory
114,Chennai,13.0836939,80.270186,Fusion,13.086271614205588,80.26317567627987,Factory
115,Chennai,13.0836939,80.270186,Krishna Tarpaulin Industries Pvt Ltd,13.091032367507525,80.27867861508312,Factory
116,Chennai,13.0836939,80.270186,courier packing,13.086784362792969,80.25808715820312,Factory
117,Chennai,13.0836939,80.270186,SPK & Co,13.092772483825684,80.28099822998047,Factory
118,Hosur,12.7328844,77.8309478,Creative Components,12.732834447227214,77.83559746440092,Factory
119,Hosur,12.7328844,77.8309478,TEREX Corporation,12.736653327941895,77.81331634521484,Factory
120,Baddi,30.9763026,76.7674000810934,B P Lipeds,30.968894958496094,76.7664794921875,Factory
121,Baddi,30.9763026,76.7674000810934,Dabur India ltd,30.989667892456055,76.76985168457031,Factory
122,Calicut,11.2586082,75.7788735,comtrust Building Material & Textile Showroom,11.254358291625977,75.77983856201172,Factory
